email,sex,age,dorm_select,college_of,personality,weekend_stay,weekday_stay,smoke,alchol,how_eat,how_eat_in,wake_up,sleep,sleep_sensitive,sleep_habit,clean_period,shower_timezone
87,1,21,1,5,1,0,0,2,0,1,1,0,0,2,1,3,0
88,2,21,2,7,0,1,0,2,0,0,0,3,2,0,3,0,0
89,2,22,2,1,2,2,1,2,0,0,1,2,2,2,3,2,2
90,2,21,2,0,1,2,0,0,0,0,1,2,3,2,3,3,2
91,1,21,1,6,0,0,0,2,2,0,0,1,2,0,2,2,0
92,2,24,2,0,2,0,2,0,0,0,0,0,2,0,3,0,0
93,2,22,2,4,1,2,0,2,0,0,1,2,2,2,3,3,1
94,2,23,2,0,2,0,2,2,1,0,1,1,2,2,2,2,2
95,2,20,2,0,1,0,1,2,0,0,0,1,2,2,3,3,1
96,2,21,2,9,2,2,2,2,3,0,1,2,3,1,0,3,0
97,2,24,2,6,2,0,0,0,0,1,1,1,2,2,2,3,2
98,2,23,2,6,1,1,1,2,3,3,1,1,2,2,2,3,2
99,2,24,2,0,0,0,0,2,0,1,1,1,2,2,0,2,0
100,1,22,2,4,2,0,0,2,0,0,0,2,2,1,3,3,0
